Acni_7369	BJBX01007369.1
Acni_17164	BJBX01017164.1
Acni_34822	BJBX01034822.1
Acni_14507	BJBX01014507.1
Acni_11089	BJBX01011089.1
Acni_13004	BJBX01013004.1
Acni_9688	BJBX01009688.1
Acni_36214	BJBX01036214.1
Acni_7497	BJBX01007497.1
Acni_649	BJBX01000649.1
Acni_35443	BJBX01035443.1
Acni_4002	BJBX01004002.1
Acni_22174	BJBX01022174.1
Acni_1872	BJBX01001872.1
Acni_2284	BJBX01002284.1
Acni_13030	BJBX01013030.1
Acni_14241	BJBX01014241.1
Acni_34140	BJBX01034140.1
Acni_6065	BJBX01006065.1
Acni_30629	BJBX01030629.1
Acni_25838	BJBX01025838.1
Acni_16458	BJBX01016458.1
Acni_19848	BJBX01019848.1
Acni_2732	BJBX01002732.1
Acni_23318	BJBX01023318.1
Acni_37021	BJBX01037021.1
Acni_3974	BJBX01003974.1
Acni_35785	BJBX01035785.1
Acni_6529	BJBX01006529.1
Acni_4994	BJBX01004994.1
Acni_31070	BJBX01031070.1
Acni_34498	BJBX01034498.1
Acni_17255	BJBX01017255.1
Acni_7198	BJBX01007198.1
Acni_23147	BJBX01023147.1
Acni_28562	BJBX01028562.1
Acni_8062	BJBX01008062.1
Acni_22158	BJBX01022158.1
Acni_14703	BJBX01014703.1
Acni_24298	BJBX01024298.1
Acni_37964	BJBX01037964.1
Acni_4548	BJBX01004548.1
Acni_10387	BJBX01010387.1
Acni_22072	BJBX01022072.1
Acni_35992	BJBX01035992.1
Acni_44484	BJBX01044484.1
Acni_21588	BJBX01021588.1
Acni_4629	BJBX01004629.1
Acni_42620	BJBX01042620.1
Acni_41348	BJBX01041348.1
Acni_23676	BJBX01023676.1
Acni_18939	BJBX01018939.1
Acni_43938	BJBX01043938.1
Acni_24857	BJBX01024857.1
Acni_14780	BJBX01014780.1
Acni_14572	BJBX01014572.1
Acni_14581	BJBX01014581.1
Acni_35233	BJBX01035233.1
Acni_42472	BJBX01042472.1
Acni_4591	BJBX01004591.1
Acni_11410	BJBX01011410.1
Acni_43079	BJBX01043079.1
Acni_24432	BJBX01024432.1
Acni_30416	BJBX01030416.1
Acni_20706	BJBX01020706.1
Acni_31326	BJBX01031326.1
Acni_7253	BJBX01007253.1
Acni_26364	BJBX01026364.1
Acni_13860	BJBX01013860.1
Acni_37376	BJBX01037376.1
Acni_27697	BJBX01027697.1
Acni_43844	BJBX01043844.1
Acni_5346	BJBX01005346.1
Acni_1060	BJBX01001060.1
Acni_28798	BJBX01028798.1
Acni_11186	BJBX01011186.1
Acni_16504	BJBX01016504.1
Acni_2722	BJBX01002722.1
Acni_17917	BJBX01017917.1
Acni_4307	BJBX01004307.1
Acni_3400	BJBX01003400.1
Acni_44653	BJBX01044653.1
Acni_16193	BJBX01016193.1
Acni_2513	BJBX01002513.1
Acni_27143	BJBX01027143.1
Acni_37341	BJBX01037341.1
Acni_16791	BJBX01016791.1
Acni_37417	BJBX01037417.1
Acni_11015	BJBX01011015.1
Acni_41494	BJBX01041494.1
Acni_35755	BJBX01035755.1
Acni_30650	BJBX01030650.1
Acni_13338	BJBX01013338.1
Acni_39963	BJBX01039963.1
Acni_10496	BJBX01010496.1
Acni_12732	BJBX01012732.1
Acni_31614	BJBX01031614.1
Acni_31755	BJBX01031755.1
Acni_32360	BJBX01032360.1
Acni_12862	BJBX01012862.1
Acni_34682	BJBX01034682.1
Acni_23033	BJBX01023033.1
Acni_16648	BJBX01016648.1
Acni_37082	BJBX01037082.1
Acni_44646	BJBX01044646.1
Acni_29706	BJBX01029706.1
Acni_42239	BJBX01042239.1
Acni_462	BJBX01000462.1
Acni_12633	BJBX01012633.1
Acni_28684	BJBX01028684.1
Acni_32523	BJBX01032523.1
Acni_13727	BJBX01013727.1
Acni_7135	BJBX01007135.1
Acni_44882	BJBX01044882.1
Acni_22926	BJBX01022926.1
Acni_7506	BJBX01007506.1
Acni_35252	BJBX01035252.1
Acni_3063	BJBX01003063.1
Acni_34134	BJBX01034134.1
Acni_13808	BJBX01013808.1
Acni_36623	BJBX01036623.1
Acni_19082	BJBX01019082.1
Acni_42129	BJBX01042129.1
Acni_2598	BJBX01002598.1
Acni_29120	BJBX01029120.1
Acni_15501	BJBX01015501.1
Acni_29209	BJBX01029209.1
Acni_25123	BJBX01025123.1
Acni_647	BJBX01000647.1
Acni_25508	BJBX01025508.1
Acni_467	BJBX01000467.1
Acni_7535	BJBX01007535.1
Acni_10603	BJBX01010603.1
Acni_36507	BJBX01036507.1
Acni_29747	BJBX01029747.1
Acni_31726	BJBX01031726.1
Acni_36819	BJBX01036819.1
Acni_22024	BJBX01022024.1
Acni_17568	BJBX01017568.1
Acni_27738	BJBX01027738.1
Acni_1463	BJBX01001463.1
Acni_38696	BJBX01038696.1
Acni_14070	BJBX01014070.1
Acni_7537	BJBX01007537.1
Acni_37868	BJBX01037868.1
Acni_41158	BJBX01041158.1
Acni_2967	BJBX01002967.1
Acni_43771	BJBX01043771.1
Acni_34626	BJBX01034626.1
Acni_738	BJBX01000738.1
Acni_38832	BJBX01038832.1
Acni_18681	BJBX01018681.1
Acni_22810	BJBX01022810.1
Acni_1544	BJBX01001544.1
Acni_20524	BJBX01020524.1
Acni_33193	BJBX01033193.1
Acni_33634	BJBX01033634.1
Acni_12366	BJBX01012366.1
Acni_39141	BJBX01039141.1
Acni_331	BJBX01000331.1
Acni_6000	BJBX01006000.1
Acni_20145	BJBX01020145.1
Acni_41955	BJBX01041955.1
Acni_33449	BJBX01033449.1
Acni_6626	BJBX01006626.1
Acni_6189	BJBX01006189.1
Acni_36344	BJBX01036344.1
Acni_20952	BJBX01020952.1
Acni_23738	BJBX01023738.1
Acni_26528	BJBX01026528.1
Acni_16659	BJBX01016659.1
Acni_13483	BJBX01013483.1
Acni_56	BJBX01000056.1
Acni_6940	BJBX01006940.1
Acni_13250	BJBX01013250.1
Acni_24329	BJBX01024329.1
Acni_35542	BJBX01035542.1
Acni_15684	BJBX01015684.1
Acni_1389	BJBX01001389.1
Acni_5404	BJBX01005404.1
Acni_12876	BJBX01012876.1
Acni_16265	BJBX01016265.1
Acni_33474	BJBX01033474.1
Acni_26880	BJBX01026880.1
Acni_3778	BJBX01003778.1
Acni_9237	BJBX01009237.1
Acni_15354	BJBX01015354.1
Acni_24476	BJBX01024476.1
Acni_612	BJBX01000612.1
Acni_17504	BJBX01017504.1
Acni_31448	BJBX01031448.1
Acni_33599	BJBX01033599.1
Acni_24495	BJBX01024495.1
Acni_18688	BJBX01018688.1
Acni_36173	BJBX01036173.1
